Designator,Mid X,Mid Y,Rotation,Layer
C1,7.2,-86.21,0.0,bottom
C10,126.01,-110.7,0.0,bottom
C11,168.815,-110.7,0.0,bottom
C12,41.0,-52.72,270.0,bottom
C13,117.625,-77.24,0.0,bottom
C2,7.2,-107.21,180.0,bottom
C4,40.4,-78.277,0.0,bottom
C5,83.205,-78.277,0.0,bottom
C6,126.01,-78.277,0.0,bottom
C7,168.815,-78.277,0.0,bottom
C8,40.4,-110.7,0.0,bottom
C9,83.205,-110.7,0.0,bottom
D1,40.4,-75.077,180.0,bottom
D2,83.205,-75.077,180.0,bottom
D3,126.01,-75.077,180.0,bottom
D4,168.815,-75.077,180.0,bottom
D5,40.4,-107.5,180.0,bottom
D6,83.205,-107.5,180.0,bottom
D7,126.01,-107.5,180.0,bottom
D8,168.815,-107.5,180.0,bottom
R1,34.68,-71.32,270.0,bottom
R2,7.2,-90.21,180.0,bottom
R3,7.2,-103.21,180.0,bottom
R4,109.975,-59.875,270.0,bottom
R5,112.925,-59.875,270.0,bottom
R6,115.875,-59.875,270.0,bottom
U10,117.4875,-83.325,270.0,bottom
U9,47.215,-50.4,270.0,bottom
